"Periodo_ID","Establecimiento_ID","Meta_ID","Numerador","Denominador","Meta_Fijada","Meta_Nacional"
202601,"121305","M_01",1,3,0.9,0.9
202601,"121306","M_01",0,4,0.9,0.9
202601,"121307","M_01",3,6,0.9,0.9
202601,"121309","M_01",0,1,0.9,0.9
202601,"121347","M_01",0,2,0.9,0.9
202601,"121350","M_01",0,5,0.9,0.9
202601,"121352","M_01",0,4,0.9,0.9
202601,"121780","M_01",0,0,0.9,0.9
202601,"121782","M_01",0,0,0.9,0.9
202601,"121788","M_01",0,0,0.9,0.9
202601,"200183","M_01",0,5,0.9,0.9
202601,"121782","M_02",0,1358,0.63,0.8
202601,"200183","M_02",0,7274,0.607,0.8
202601,"121309","M_02",0,8600,0.601,0.8
202601,"121306","M_02",0,9221,0.613,0.8
202601,"121350","M_02",0,10505,0.698,0.8
202601,"121305","M_02",0,7498,0.699,0.8
202601,"121352","M_02",0,2247,0.7189999999999999,0.8
202601,"121788","M_02",0,1282,0.6,0.8
202601,"121307","M_02",0,12979,0.549,0.8
202601,"121780","M_02",0,976,0.63,0.8
202601,"121347","M_02",0,5882,0.669,0.8
202601,"121309","M_03A",122,2478,0.36,0.48
202601,"121309","M_03B",4,283,0.195,0.22
202601,"121352","M_03A",58,874,0.56,0.48
202601,"121352","M_03B",0,99,0.17,0.22
202601,"121788","M_03A",15,360,0.54,0.48
202601,"121788","M_03B",3,51,0.244,0.22
202601,"121780","M_03A",19,324,0.575,0.48
202601,"121780","M_03B",1,33,0.29,0.22
202601,"121782","M_03A",31,375,0.54,0.48
202601,"121782","M_03B",0,45,0.29,0.22
202601,"121306","M_03A",146,2858,0.54,0.48
202601,"121306","M_03B",9,309,0.27,0.22
202601,"200183","M_03A",164,2403,0.45,0.48
202601,"200183","M_03B",9,262,0.195,0.22
202601,"121350","M_03A",194,4173,0.47,0.48
202601,"121350","M_03B",2,493,0.146,0.22
202601,"121305","M_03A",110,2469,0.545,0.48
202601,"121305","M_03B",8,300,0.297,0.22
202601,"121307","M_03A",214,3809,0.44,0.48
202601,"121307","M_03B",16,477,0.19,0.22
202601,"121347","M_03A",138,2266,0.515,0.48
202601,"121347","M_03B",10,263,0.221,0.22
202601,"121782","M_04A",0,436,0.28,0.29
202601,"121782","M_04B",0,0,0.9,0.9
202601,"200183","M_04A",0,2154,0.256,0.29
202601,"200183","M_04B",0,0,0.9,0.9
202601,"121309","M_04A",0,3245,0.3,0.29
202601,"121309","M_04B",0,0,0.9,0.9
202601,"121306","M_04A",0,3612,0.316,0.29
202601,"121306","M_04B",0,0,0.9,0.9
202601,"121350","M_04A",0,3222,0.3,0.29
202601,"121350","M_04B",0,0,0.9,0.9
202601,"121305","M_04A",0,2870,0.27,0.29
202601,"121305","M_04B",0,0,0.9,0.9
202601,"121352","M_04A",0,938,0.255,0.29
202601,"121352","M_04B",0,0,0.9,0.9
202601,"121788","M_04A",0,521,0.28,0.29
202601,"121788","M_04B",0,0,0.9,0.9
202601,"121307","M_04A",0,5149,0.2933,0.29
202601,"121307","M_04B",0,0,0.9,0.9
202601,"121780","M_04A",0,333,0.28,0.29
202601,"121780","M_04B",0,0,0.9,0.9
202601,"121347","M_04A",0,2079,0.29,0.29
202601,"121347","M_04B",0,0,0.9,0.9
202601,"121782","M_05",0,975,0.43,0.45
202601,"200183","M_05",0,4778,0.329368,0.45
202601,"121309","M_05",0,7353,0.316483,0.45
202601,"121306","M_05",0,8159,0.473,0.45
202601,"121350","M_05",0,7136,0.44,0.45
202601,"121305","M_05",0,6462,0.42699999999999994,0.45
202601,"121352","M_05",0,2127,0.434,0.45
202601,"121788","M_05",0,1176,0.34686900000000004,0.45
202601,"121307","M_05",0,11623,0.3983,0.45
202601,"121780","M_05",0,740,0.43,0.45
202601,"121347","M_05",0,4619,0.368,0.45
202601,"121309","M_06",5,12,0.64,0.6
202601,"121352","M_06",2,5,0.64,0.6
202601,"121788","M_06",0,1,0.64,0.6
202601,"121782","M_06",0,1,0.64,0.6
202601,"121780","M_06",1,4,0.64,0.6
202601,"121306","M_06",9,11,0.64,0.6
202601,"200183","M_06",10,15,0.64,0.6
202601,"121350","M_06",7,18,0.64,0.6
202601,"121305","M_06",7,15,0.64,0.6
202601,"121307","M_06",11,26,0.64,0.6
202601,"121347","M_06",5,7,0.64,0.6
202601,"121782","M_07",0,615,0.1677,0.15
202601,"200183","M_07",0,3145,0.1677,0.15
202601,"121309","M_07",0,4243,0.1677,0.15
202601,"121306","M_07",0,4772,0.1677,0.15
202601,"121350","M_07",0,4866,0.1677,0.15
202601,"121305","M_07",0,3838,0.1677,0.15
202601,"121352","M_07",0,1256,0.1677,0.15
202601,"121788","M_07",0,670,0.1677,0.15
202601,"121307","M_07",0,6693,0.1677,0.15
202601,"121780","M_07",0,473,0.1677,0.15
202601,"121347","M_07",0,2988,0.1677,0.15
202602,"121305","M_01",1,4,0.9,0.9
202602,"121306","M_01",1,5,0.9,0.9
202602,"121307","M_01",4,6,0.9,0.9
202602,"121309","M_01",0,1,0.9,0.9
202602,"121347","M_01",0,2,0.9,0.9
202602,"121350","M_01",0,10,0.9,0.9
202602,"121352","M_01",0,4,0.9,0.9
202602,"121780","M_01",0,0,0.9,0.9
202602,"121782","M_01",0,0,0.9,0.9
202602,"121788","M_01",0,0,0.9,0.9
202602,"200183","M_01",0,8,0.9,0.9
202602,"121782","M_02",0,1358,0.63,0.8
202602,"200183","M_02",0,7274,0.607,0.8
202602,"121309","M_02",0,8600,0.601,0.8
202602,"121306","M_02",0,9221,0.613,0.8
202602,"121350","M_02",0,10505,0.698,0.8
202602,"121305","M_02",0,7498,0.699,0.8
202602,"121352","M_02",0,2247,0.7189999999999999,0.8
202602,"121788","M_02",0,1282,0.6,0.8
202602,"121307","M_02",0,12979,0.549,0.8
202602,"121780","M_02",0,976,0.63,0.8
202602,"121347","M_02",0,5882,0.669,0.8
202602,"121309","M_03A",202,2478,0.36,0.48
202602,"121309","M_03B",10,283,0.195,0.22
202602,"121352","M_03A",58,874,0.56,0.48
202602,"121352","M_03B",0,99,0.17,0.22
202602,"121788","M_03A",29,360,0.54,0.48
202602,"121788","M_03B",4,51,0.244,0.22
202602,"121780","M_03A",32,324,0.575,0.48
202602,"121780","M_03B",1,33,0.29,0.22
202602,"121782","M_03A",54,375,0.54,0.48
202602,"121782","M_03B",2,45,0.29,0.22
202602,"121306","M_03A",281,2858,0.54,0.48
202602,"121306","M_03B",14,309,0.27,0.22
202602,"200183","M_03A",301,2403,0.45,0.48
202602,"200183","M_03B",12,262,0.195,0.22
202602,"121350","M_03A",315,4173,0.47,0.48
202602,"121350","M_03B",14,493,0.146,0.22
202602,"121305","M_03A",207,2469,0.545,0.48
202602,"121305","M_03B",19,300,0.297,0.22
202602,"121307","M_03A",315,3809,0.44,0.48
202602,"121307","M_03B",24,477,0.19,0.22
202602,"121347","M_03A",272,2266,0.515,0.48
202602,"121347","M_03B",19,263,0.221,0.22
202602,"121782","M_04A",0,436,0.28,0.29
202602,"121782","M_04B",0,0,0.9,0.9
202602,"200183","M_04A",0,2154,0.256,0.29
202602,"200183","M_04B",0,0,0.9,0.9
202602,"121309","M_04A",0,3245,0.3,0.29
202602,"121309","M_04B",0,0,0.9,0.9
202602,"121306","M_04A",0,3612,0.316,0.29
202602,"121306","M_04B",0,0,0.9,0.9
202602,"121350","M_04A",0,3222,0.3,0.29
202602,"121350","M_04B",0,0,0.9,0.9
202602,"121305","M_04A",0,2870,0.27,0.29
202602,"121305","M_04B",0,0,0.9,0.9
202602,"121352","M_04A",0,938,0.255,0.29
202602,"121352","M_04B",0,0,0.9,0.9
202602,"121788","M_04A",0,521,0.28,0.29
202602,"121788","M_04B",0,0,0.9,0.9
202602,"121307","M_04A",0,5149,0.2933,0.29
202602,"121307","M_04B",0,0,0.9,0.9
202602,"121780","M_04A",0,333,0.28,0.29
202602,"121780","M_04B",0,0,0.9,0.9
202602,"121347","M_04A",0,2079,0.29,0.29
202602,"121347","M_04B",0,0,0.9,0.9
202602,"121782","M_05",0,975,0.43,0.45
202602,"200183","M_05",0,4778,0.329368,0.45
202602,"121309","M_05",0,7353,0.316483,0.45
202602,"121306","M_05",0,8159,0.473,0.45
202602,"121350","M_05",0,7136,0.44,0.45
202602,"121305","M_05",0,6462,0.42699999999999994,0.45
202602,"121352","M_05",0,2127,0.434,0.45
202602,"121788","M_05",0,1176,0.34686900000000004,0.45
202602,"121307","M_05",0,11623,0.3983,0.45
202602,"121780","M_05",0,740,0.43,0.45
202602,"121347","M_05",0,4619,0.368,0.45
202602,"121309","M_06",14,27,0.64,0.6
202602,"121352","M_06",2,5,0.64,0.6
202602,"121788","M_06",1,2,0.64,0.6
202602,"121782","M_06",1,2,0.64,0.6
202602,"121780","M_06",2,6,0.64,0.6
202602,"121306","M_06",21,29,0.64,0.6
202602,"200183","M_06",15,25,0.64,0.6
202602,"121350","M_06",16,34,0.64,0.6
202602,"121305","M_06",14,24,0.64,0.6
202602,"121307","M_06",16,39,0.64,0.6
202602,"121347","M_06",11,14,0.64,0.6
202602,"121782","M_07",0,615,0.1677,0.15
202602,"200183","M_07",0,3145,0.1677,0.15
202602,"121309","M_07",0,4243,0.1677,0.15
202602,"121306","M_07",0,4772,0.1677,0.15
202602,"121350","M_07",0,4866,0.1677,0.15
202602,"121305","M_07",0,3838,0.1677,0.15
202602,"121352","M_07",0,1256,0.1677,0.15
202602,"121788","M_07",0,670,0.1677,0.15
202602,"121307","M_07",0,6693,0.1677,0.15
202602,"121780","M_07",0,473,0.1677,0.15
202602,"121347","M_07",0,2988,0.1677,0.15
202603,"121305","M_01",2,5,0.9,0.9
202603,"121306","M_01",2,6,0.9,0.9
202603,"121307","M_01",4,6,0.9,0.9
202603,"121309","M_01",3,2,0.9,0.9
202603,"121347","M_01",0,2,0.9,0.9
202603,"121350","M_01",4,10,0.9,0.9
202603,"121352","M_01",2,4,0.9,0.9
202603,"121780","M_01",0,0,0.9,0.9
202603,"121782","M_01",0,0,0.9,0.9
202603,"121788","M_01",0,0,0.9,0.9
202603,"200183","M_01",3,11,0.9,0.9
202603,"121782","M_02",0,1358,0.63,0.8
202603,"200183","M_02",0,7274,0.607,0.8
202603,"121309","M_02",0,8600,0.601,0.8
202603,"121306","M_02",0,9221,0.613,0.8
202603,"121350","M_02",0,10505,0.698,0.8
202603,"121305","M_02",0,7498,0.699,0.8
202603,"121352","M_02",0,2247,0.7189999999999999,0.8
202603,"121788","M_02",0,1282,0.6,0.8
202603,"121307","M_02",0,12979,0.549,0.8
202603,"121780","M_02",0,976,0.63,0.8
202603,"121347","M_02",0,5882,0.669,0.8
202603,"121309","M_03A",325,2478,0.36,0.48
202603,"121309","M_03B",23,283,0.195,0.22
202603,"121352","M_03A",92,874,0.56,0.48
202603,"121352","M_03B",1,99,0.17,0.22
202603,"121788","M_03A",47,360,0.54,0.48
202603,"121788","M_03B",7,51,0.244,0.22
202603,"121780","M_03A",53,324,0.575,0.48
202603,"121780","M_03B",3,33,0.29,0.22
202603,"121782","M_03A",87,375,0.54,0.48
202603,"121782","M_03B",5,45,0.29,0.22
202603,"121306","M_03A",447,2858,0.54,0.48
202603,"121306","M_03B",20,309,0.27,0.22
202603,"200183","M_03A",426,2403,0.45,0.48
202603,"200183","M_03B",18,262,0.195,0.22
202603,"121350","M_03A",505,4173,0.47,0.48
202603,"121350","M_03B",25,493,0.146,0.22
202603,"121305","M_03A",382,2469,0.545,0.48
202603,"121305","M_03B",30,300,0.297,0.22
202603,"121307","M_03A",511,3809,0.44,0.48
202603,"121307","M_03B",36,477,0.19,0.22
202603,"121347","M_03A",438,2266,0.515,0.48
202603,"121347","M_03B",29,263,0.221,0.22
202603,"121782","M_04A",0,436,0.28,0.29
202603,"121782","M_04B",0,0,0.9,0.9
202603,"200183","M_04A",0,2154,0.256,0.29
202603,"200183","M_04B",0,0,0.9,0.9
202603,"121309","M_04A",0,3245,0.3,0.29
202603,"121309","M_04B",0,0,0.9,0.9
202603,"121306","M_04A",0,3612,0.316,0.29
202603,"121306","M_04B",0,0,0.9,0.9
202603,"121350","M_04A",0,3222,0.3,0.29
202603,"121350","M_04B",0,0,0.9,0.9
202603,"121305","M_04A",0,2870,0.27,0.29
202603,"121305","M_04B",0,0,0.9,0.9
202603,"121352","M_04A",0,938,0.255,0.29
202603,"121352","M_04B",0,0,0.9,0.9
202603,"121788","M_04A",0,521,0.28,0.29
202603,"121788","M_04B",0,0,0.9,0.9
202603,"121307","M_04A",0,5149,0.2933,0.29
202603,"121307","M_04B",0,0,0.9,0.9
202603,"121780","M_04A",0,333,0.28,0.29
202603,"121780","M_04B",0,0,0.9,0.9
202603,"121347","M_04A",0,2079,0.29,0.29
202603,"121347","M_04B",0,0,0.9,0.9
202603,"121782","M_05",0,975,0.43,0.45
202603,"200183","M_05",0,4778,0.329368,0.45
202603,"121309","M_05",0,7353,0.316483,0.45
202603,"121306","M_05",0,8159,0.473,0.45
202603,"121350","M_05",0,7136,0.44,0.45
202603,"121305","M_05",0,6462,0.42699999999999994,0.45
202603,"121352","M_05",0,2127,0.434,0.45
202603,"121788","M_05",0,1176,0.34686900000000004,0.45
202603,"121307","M_05",0,11623,0.3983,0.45
202603,"121780","M_05",0,740,0.43,0.45
202603,"121347","M_05",0,4619,0.368,0.45
202603,"121309","M_06",20,42,0.64,0.6
202603,"121352","M_06",3,10,0.64,0.6
202603,"121788","M_06",5,7,0.64,0.6
202603,"121782","M_06",5,6,0.64,0.6
202603,"121780","M_06",2,6,0.64,0.6
202603,"121306","M_06",32,45,0.64,0.6
202603,"200183","M_06",25,39,0.64,0.6
202603,"121350","M_06",33,72,0.64,0.6
202603,"121305","M_06",18,32,0.64,0.6
202603,"121307","M_06",26,65,0.64,0.6
202603,"121347","M_06",13,18,0.64,0.6
202603,"121782","M_07",0,615,0.1677,0.15
202603,"200183","M_07",0,3145,0.1677,0.15
202603,"121309","M_07",0,4243,0.1677,0.15
202603,"121306","M_07",0,4772,0.1677,0.15
202603,"121350","M_07",0,4866,0.1677,0.15
202603,"121305","M_07",0,3838,0.1677,0.15
202603,"121352","M_07",0,1256,0.1677,0.15
202603,"121788","M_07",0,670,0.1677,0.15
202603,"121307","M_07",0,6693,0.1677,0.15
202603,"121780","M_07",0,473,0.1677,0.15
202603,"121347","M_07",0,2988,0.1677,0.15
